Video Title,Channel,Comment Author,Comment,Likes
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Veronika Péli,Thats what i want to see ?? thank you honey!,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Katrina T.,"Can you please not say just the number of the shade, can you say the NAME of the shade?",0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,sailor moon,Wow so nice,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Achini Savindya,A real review. Thank you ??????????????,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Ash Ash,Is it suitable for dry skin ?,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,yoko okamoto,Candace I love your channel,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Rupa Saini,Very informative ??,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Ainsley Uyanguren,i will be trying thiss,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Cam Mac,"I&#39;m debating buying this in Golden Sun, but wanted to check the reviews first. I just need a good compact powder as the last finishing touch to set my liquid foundation",0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,May English,Sponge side.,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,DD Phoenix,Lovely ??,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,californian brat,brush side looks better bc it looks a bit more cleaner!!,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Jai B,"Looks like the 1st shade oxides to more darker. Looked OK, I am gona give it a go. Thanks xx",0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Vicky Kirchner,I love this…..I have been using it for about 3 months,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Wait for it,This is the best review I&#39;ve seen on this foundation,3
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Honeykai,"I like the brush side because it looks more natural, less makeup and blended Intl the skin more soft",1
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,sakura spring,WAIT !!!! THE COVERAGE IS SO GOOD??? Even though you wear it for the whole day it still sits pretty well!!! Its oily but its not bad!!!! I might buy this ??,3
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Javed Farooqui,First konsa shade use Kiya tha,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,glam.alert4you,U look cute! ??,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Rae Lange,The absolute worst powder foundation,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Paquette Nina,I tested and I did not like at all and the shade ! I wanted to purchase another shade but after this revue a don’t think so ! Thank you very much that was interesting the way you tested that ??????,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Its_me_manasa_suresh,mam it gives glow our face?,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Neherin Maqsood,"Hi, <br>Absolutely love your reviews. <br>Did you try the Maybelline Superstay Powder Foundation ? Would like to get an review on that please.",2
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Tiffany A,"You are gorgeous, love your natural skin and this foundation! Wanted to say, always brush up on your neck and face, gravity is not your friend and it will prevent wrinkles to go up, and towards your nose around the eyes...????",3
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,M Alva,Would it been different if you would have primed and moisturized your skin first for the final results?,1
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Saadia B,"Swatches of golden sun, radiant sand and radiant honey. Very helpful indeed.",7
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,the reaction,"Nn capisco, perché il tuo viso nella zona T si riempie di olio? È dovuto al fondotinta perché è idratante? Oppure perché necessita di essere settata con la cipria???",1
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Reading & Retail,It’s ok your skin looks great! I have hyper pigmentation too and I’ve learned to embrace it,24
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Reading & Retail,Thank u so much for this video! I’ve been searching for these shades! And I didn’t want to keep buying the wrong shade. ????great video!,1
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Maha Abdelhadi,I got this powder foundation and it was so bad it did not cover anything,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,muslimahs_tale,"<a href=""https://www.youtube.com/watch?v=kaisMex-xvA&amp;t=6m46s"">6:46</a> i love how she shows the foundation like normal people not like extra dramatic youtubers after the look is done",85
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,muslimahs_tale,Her voice is oddly satisfying and cute,8
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,muslimahs_tale,U r so sweet,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,muslimahs_tale,Love u for being u,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Ashley Greenhouse,Thank you for such a detailed video!,3
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Rose Mahar,Thank you i was curious to purchase it but after your review I&#39;m not gonna buy it anymore thank you,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Alberta McCrary,"I think the lighter one did look very good on you and it did oxidize in the evening. The newest powder you got is nice too, maybe you can combine the 2 and it will all work out. Your eyeshadow does look beautiful.",4
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Seaglassmomma,"I love this stuff but you’re right, they need to expand the shade range. I’m a medium with pink undertones and they have nothing to match so I use sand but then bring it to my tone with some bronzer and blush. I’m a pretty oily person and I haven’t had any issues with getting too shiny. If I feel it’s going to be an extra shiny day, I just add a little It Bye Bye Pores powder.",2
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Merlina Luna,All them are so light for you.,1
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Merlina Luna,330 Halzenut is for you,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Yusra Khalid,Does it oxidised??,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Jasmin L.,"Hi Candance, what are your other foundations shades, for reference, I&#39;m normally NC42/43 in MAC Studio fix powder foundation. Thank you.",6
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Veronica Graham,Great review Candace loreal increased their prices I&#39;m sticking to wet n wild for now,5
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Fernanda,"Você me ajudou a encontrar meu tom da base, obrigada s2 s2 s2",1
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Zinet Behailu,Can u pls tell me what my shade is.. i use fenty beauty 310 and mac nc 42,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Shannon Gambill,I always wait for your review before I get anything especially if it&#39;s being hyped up everywhere,6
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Patricia Hernandez,I tried..feels way too cakey..i can feel rhe powder on my skin..not a fan..but u look beautiful.,1
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Patricia Hernandez,Beautiful,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Yas a,The best review on YT,7
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Madame Reynaud,"This looks to wear pretty elegantly for a powder foundation (on camera), shame about the shade range, small product quantity, dodgy coverage, transfer. One of theose products I want to be a winner but isn’t...",0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,ginelle barry,Yasss wonderful review,3
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Palace Secret,The Best review for this product. I found what I was looking for.,1
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Sheila Tyler,Love how you tested it a few days then provided your opinion,59
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Ruksana Razzak,You&#39;re beautiful in bare skin..,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,mskita007,Thank you for your honesty!,2
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Hillary Rutter,Thank you so much for this review! It&#39;s being hyped up everywhere,23
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Donna D,I actually prefer the sponge side it gives you fuller coverage. We are the same shade and you&#39;re trying all the shades I bought but haven&#39;t tried yet. Thank you for the review. ??,7
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,This is us,Very good review! Thank you,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Livia Bajdaun,"Your video was great, thank you for testing the foundation products.",1
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Ray B,Such a beautiful woman!!,15
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Melati Sapari,"Even though its a powder foundation, we still need to set it with a translucent setting powder and makeup setting spray because it&#39;s not an &#39;oil controlling&#39; powder. It&#39;s just a foundation in a powder form, that&#39;s all..",2
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Ghananeel,"I&#39;ll try ,love from India sweetheart",0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Talton L,"This foundation had good coverage, but the shades are weirdly chalky. I normally wear Sand in all their foundations, but it had a whitish cast. I tried shades above and below it but still weird and couldn&#39;t find a close enough match???????",7
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,floresca katigbak,It becomes too oily in the t zone,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Girl From London town.,I live in the UK and the only shad available for my skin is 330 hazelnut (I&#39;m the same skin tone as you). I made my face orange ??,5
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Joanne Vincent,Yup they don&#39;t have my shade thanks for reviewing Candace,20
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Afrin Chy,For nc 30 which shade?,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Sam S,Did you ever try the L’Oréal lumi cushion compact foundation before it got discontinued?,0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Elsy Gomez,Nice review but I’ll pass just because too much powder tends to make me more oily than liquid............XX,1
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Alice jane Destross,"Agreed $14.99 is a bit much, I bought radiant honey wasn&#39;t a fan it&#39;s all hype",10
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,guslene belleus,I was probably one of those people in your dm&#39;s asking you to try this lol Amazing review as always loreal doesn&#39;t have my shade I&#39;m will be passing on this,42
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Carol S.,Hi Candace. I find that powders always run lighter than the corresponding liquid. I am amazed at the level of coverage. Maybe a less hydrating setting spray would help?,5
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,R F,"Hi Candace, thank you for doing all<br>Of this. Would you be able to do a list of foundation that worked for you or what are your shades that’s the best? Thank you",0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Miser's Makeup - Ng??i Hà Ti?n,"Thank you so much for your review, I was also very tempted b/c I love powder foundation, and this was so hyped up, and yes it’s also so overpriced it’s ridiculous. I knew I often cannot find a shade in L’Oreal foundations whether powder or liquid, so this is the final nail in that urge to try this one for me. Typically my best/favourite powder foundation sets itself nicely even without setting powder, if I only need about 3 hours of great wear for a quick errand/dining out, it’s the only thing I put on. Priming &amp; powdering will help my oily areas look more together for a whole day and yes I mean 24 hours. A bit of blotting every 3-4 hours will take the shine away and it’d look fresh again, with minimal transfer.",16
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Saswati Padhi,I was so looking forward to this review! ????,2
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Senpai Jay,"Thanks for reviewing dis product , I’m looking forward to buy it along with maybelline sky high mascara .",1
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Priyanka Pri,Hi Candace ?? <br>Nice video ????????<br>I preferred sponge side,1
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Julio Salinas,Are you going to be trying the KVD Good Apple Foundation?,4
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Sharlene,Love your reviews!<br>Can you review Fenty Beauty Eaze Drop Skin Tint?,3
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Nikki D,"Thank you for testing these shades as I was curious! The last shade looks great when applied and I heart your testing of these products. I wish L&#39;oreal would keep considtency in names. I use and love the Pro matte foundation and powder in caramel beige and golden beige (600), respectively . My coloring is more golden so I am thinking that the first shade would work for me as the second looked hella ashy.",9
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Marlene Distancia,"Btw, what lip shade do you have on at the end? Such a great lip color on you.",0
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Marlene Distancia,I do like the sponge side better. ?? Question: do you think it&#39;s possible to use a little on top of foundation as a setting powder. ??I don&#39;t normally wear powder foundation. Lovely video btw!!! ??,3
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,Esha Hariram,Loved the review! Can you review the KVD Apple Foundation please!!!,1
L’Oreal Paris Infallible Fresh Wear Foundation In A Powder Foundation Review 1 Week Wear Test,Ask Candace,boundless,"I want to try it, but I am pretty sure I won&#39;t find a good shade match. <br>The liquid one is my absolute favorite! I have dry skin and I live in CA (dry weather) and it lasts on me for 10+ hours and looks very skin-like.",10
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Raquel Navas,Do you recommend wearing primer before putting on powder foundation???????,1
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Val . M,Love your hair color!! It looks great on you! <br>I’ve tried to get that ashy color on my hair but I end up just looking dead ??????,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Emily Ann,What primer should you use before you put on the powder foundation?,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,DFZ,Boycott Loreal and Amber Heard:<br>Don&#39;t support and elevate abusive people. Loreal needs to do the right thing otherwise truthful comments will be spread around constantly.,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Chintu Chinna,??????????????????,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Nidhi Agrawal,"Hi, what shade are you in Mac. I am NC 40-42 and want to understand my shade in L’Oréal infallible powder foundation. TIA",0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Destine Yeatts,God Bless everyone and God loves everyone Amen ??????,1
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Mandy Hoover,Have u tried it without concealer,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Kimberly Salisbury,"This foundation didn&#39;t work for me. After only a few hours, it changed consistency and started sliding off my face - in winter. I do have an oily T zone, and I wear moisturizer with sunscreen in it. Maybelline Fit Me powder foundation has worked the best for me.",0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Gift Elias,I&#39;m in love with your eyes,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Mo Kaata,And in NZ $40 to $50 ?? why is our stuff so expensive,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Cassandra Lesh,I use the powder foundation in color sand. The liquid version in color sand is completely different it&#39;s way too yellow I&#39;ve tried going up and down and I cannot find a match but the powder version in sand is perfect,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Judy Williams,"I think this makeup , plus the color looks so beautiful on you . The coverage plus the staying on power of it is 100% . So as for me 1 through 10 ratings I would definitely give it a 11 . I think it did exceptionally on you for 8 hours , with the coverage and shine control . I must purchase this foundation , and try it out . I hope it does as well on me as it does for your look . I can only hope to see if it does this well on me . Thank you for posting this video , you did such an awesome presentation . Your voice so soothing and professional . Continue to do more videos for us makeup lovers . Thank you.",11
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Huda Thanks,?? ???? ??? ??? ??? ????? ????? ?????? ???? ?????? ???? ????,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Huda Thanks,????? ???? ????? ??? ?? ??? ??? ???? ???? ????,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Huda Thanks,????? ???? ?????? ????? ???? ??????,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Huda Thanks,????? ?? ???? ????? ??? ????? ???? ???? ??? ????? ??????,1
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Amanda Henderson,Your teethe are sooo white! What do you use?,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,ahad xx,where can i find it?,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Kawthar Bou,I think it match pretty good your colour ?,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Cruella,I was expecting to see nothing being applied to the face before using the product disappointed,1
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,noconfuznhere,"Purchased, not scented at all.",0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Salma Khan,Please share the tips how to choose right foundation concealer powder primer according to one skin tones<br>Do one need color corrector also concealer or both<br>The concealer should be lighter or same color as skin tone,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Trisha Wilson,I found that applying it with a brush is like so amazing it doesn’t go in so pigmented and heavy you can build so easy with a buffing brush to full coverage. This foundation is the best on the market I think. It’s so hard to get and I see why. Maybelline super stay powder is awesome too. Try that one if you haven’t and use a buffing brush with that too you will love it.,20
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Jessica Lowry,Just purchased and I think I accidentally bought a tampered one… I can’t find the sponge. Any ideas for replacement?,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,sunlithoney,You’re over exaggerating when you say it’s too dark for you. It’s actually a good tone for your skin. Goes well,22
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Jhoselyn Martinez,What is the name of the one you use regular?,0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Ilovecats 1943,I didn&#39;t notice any fragrance in this product. My first time using it as well.,3
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,user89076,"Thanks for being honest. As someone with oily/combination skin, who doesn&#39;t like wearing foundation every day, I thought this would be perfect. But the fact that it has fragrance in it, made it a no for me.",3
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Abba Abba,"Do not apply this after Makeup Girls, It makes your face Cakey. I regret buying this really . First is I chose wrong shade because I didn’t know which shade to choose. <br>And I applied after makeup and It looked so cakey and dry, I had to wash face and makeup again. I regret buying it",1
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Egg,I would not recommend this if you have dry skin,1
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Gabriel's World,Love this video and love how honest you are!,2
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Charley,"Well, I love it. Girl you look great after wearing for a whole day and no touch ups? If not that&#39;s pretty dang good.",0
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Emily Hudak,Anyone know a cruelty-free dupe of this?,1
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,unique wun,Which colour is that please,1
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Cintia Luis,Which concealer do you use? And what can you do to prevent it to crack under the eyes?,1
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,5forhvn,Best way to put this on is with a damp sponge. I use my RT one! Love it and it does stay on!,11
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Lydia Dragone,It’s soooo matte! I need a little glow,6
NEW!!! L'OREAL INFALLIBLE FOUNDATION IN A POWDER | REVIEW + FULL DAY WEAR TEST,All Beauty By Sarah,Angie,"Maybe its a weird question but, after this foundation, can I use some powder (little oily skin) or its not good ?",5
